ID,Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Drugs Tested,Legal Drugs,Illegal Drugs
19,4.0,0.0,6.0,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,11.0,3.0,8.0
20,2.0,0.0,5.0,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,8.0,4.0,4.0
21,3.0,0.0,5.0,-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,9.0,4.0,5.0
22,5.0,0.0,0.0,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,6.0,4.0,2.0
23,3.0,0.0,6.0,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,3.0,3.0,0.0
24,3.0,0.0,1.0,1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,12.0,4.0,7.0
25,4.0,0.0,6.0,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,12.0,4.0,8.0
26,3.0,0.0,4.0,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,12.0,4.0,8.0
27,4.0,1.0,3.0,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,6.0,4.0,2.0
28,2.0,0.0,6.0,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,12.0,4.0,8.0
29,2.0,1.0,7.0,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,4.0,3.0,1.0
30,3.0,0.0,8.0,-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,2.0,2.0,0.0
31,3.0,0.0,1.0,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,14.0,4.0,10.0
32,2.0,1.0,1.0,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.84637,5.0,4.0,1.0
33,2.0,0.0,6.0,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.84637,8.0,4.0,4.0
34,0.0,0.0,6.0,0.41667,-0.30033,0.29338,1.2861,-0.14277,-0.71126,-1.54858,3.0,3.0,0.0
35,2.0,0.0,6.0,1.02119,0.63779,0.88309,-2.90161,-0.78155,0.52975,1.92173,18.0,4.0,13.0
36,5.0,0.0,0.0,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,4.0,4.0,0.0
37,2.0,0.0,6.0,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,3.0,3.0,0.0
38,4.0,0.0,0.0,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,11.0,4.0,7.0
39,3.0,0.0,6.0,-1.55078,1.2861,0.29338,-0.01729,0.7583,-0.21712,-0.84637,7.0,4.0,3.0
40,5.0,1.0,5.0,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,-1.37983,-0.21575,7.0,4.0,3.0
41,2.0,0.0,7.0,0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987,6.0,4.0,2.0
42,2.0,1.0,6.0,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,4.0,4.0,0.0
43,2.0,0.0,7.0,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,-0.21712,-0.52593,11.0,4.0,7.0
44,2.0,0.0,5.0,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,-0.21712,-0.21575,10.0,4.0,6.0
45,1.0,0.0,6.0,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987,4.0,4.0,0.0
46,1.0,1.0,6.0,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,3.0,3.0,0.0
47,3.0,1.0,4.0,0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637,7.0,4.0,2.0
48,3.0,0.0,7.0,-2.05048,0.80523,0.29338,0.94156,1.13407,-2.55524,-1.18084,4.0,3.0,1.0
49,3.0,0.0,1.0,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.84637,9.0,4.0,5.0
50,1.0,1.0,7.0,0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.2247,4.0,4.0,0.0
51,2.0,0.0,7.0,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.84637,13.0,4.0,9.0
52,3.0,0.0,5.0,1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,11.0,4.0,7.0
53,4.0,1.0,6.0,-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858,4.0,4.0,0.0
54,3.0,0.0,7.0,-1.43907,-0.15487,1.06238,0.28783,0.25953,-0.21712,-0.21575,11.0,4.0,7.0
55,4.0,0.0,1.0,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,10.0,4.0,6.0
56,4.0,1.0,5.0,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,3.0,3.0,0.0
57,2.0,1.0,4.0,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,3.0,3.0,0.0
58,1.0,1.0,6.0,-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,3.0,3.0,0.0
59,3.0,0.0,3.0,0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.2247,16.0,4.0,11.0
60,3.0,0.0,6.0,-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,-1.37983,-1.54858,3.0,3.0,0.0
61,1.0,1.0,8.0,1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987,5.0,4.0,1.0
62,3.0,0.0,7.0,-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,7.0,3.0,3.0
63,1.0,0.0,6.0,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,4.0,4.0,0.0
64,3.0,0.0,6.0,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,3.0,3.0,0.0
65,3.0,0.0,8.0,-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,10.0,4.0,6.0
66,2.0,0.0,4.0,0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,4.0,3.0,1.0
67,3.0,0.0,1.0,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,2.0,2.0,0.0
68,1.0,0.0,7.0,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,0.88113,-0.21575,10.0,4.0,6.0
69,2.0,0.0,5.0,-0.92104,0.00332,0.29338,-0.15487,-0.27607,-0.21712,0.07987,13.0,4.0,9.0
70,3.0,1.0,1.0,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637,5.0,4.0,1.0
71,1.0,0.0,4.0,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,0.52975,0.7654,13.0,4.0,8.0
72,3.0,1.0,3.0,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,5.0,4.0,1.0
73,3.0,0.0,3.0,-1.55078,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,7.0,4.0,3.0
74,3.0,0.0,5.0,-0.67825,-0.57545,-0.31776,0.28783,1.13407,-0.71126,-0.21575,4.0,4.0,0.0
75,5.0,1.0,1.0,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848,4.0,4.0,0.0
76,1.0,0.0,6.0,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,0.52975,-0.21575,4.0,3.0,1.0
77,3.0,1.0,2.0,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,4.0,4.0,0.0
78,2.0,0.0,6.0,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,9.0,4.0,5.0
79,2.0,0.0,4.0,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,9.0,4.0,4.0
80,2.0,0.0,5.0,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,4.0,4.0,0.0
81,5.0,1.0,8.0,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,6.0,3.0,3.0
82,4.0,1.0,6.0,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,13.0,4.0,9.0
83,4.0,0.0,7.0,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,3.0,3.0,0.0
84,4.0,1.0,2.0,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,6.0,4.0,2.0
85,3.0,0.0,1.0,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987,4.0,3.0,1.0
86,1.0,1.0,3.0,-0.46725,0.00332,-1.55521,0.13136,0.41594,0.52975,1.2247,6.0,4.0,2.0
87,2.0,0.0,4.0,0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,6.0,4.0,2.0
88,4.0,0.0,1.0,-0.92104,0.16767,-0.45174,-0.30172,0.25953,-0.71126,0.40148,4.0,3.0,1.0
89,2.0,1.0,4.0,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,-1.37983,-2.07848,8.0,4.0,4.0
90,2.0,1.0,7.0,0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575,9.0,3.0,5.0
91,2.0,1.0,7.0,1.37297,0.32197,0.7233,0.28783,-0.78155,-1.37983,0.07987,5.0,4.0,1.0
92,2.0,0.0,5.0,0.41667,-0.43999,0.7233,0.28783,0.7583,0.88113,0.7654,7.0,3.0,4.0
93,1.0,0.0,3.0,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,5.0,4.0,1.0
94,5.0,1.0,1.0,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,3.0,3.0,0.0
95,3.0,0.0,7.0,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,6.0,4.0,2.0
96,3.0,0.0,7.0,-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,11.0,4.0,7.0
97,2.0,1.0,6.0,0.13606,-1.09207,0.29338,-0.15487,0.7583,-1.37983,-1.54858,9.0,4.0,5.0
98,3.0,1.0,7.0,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637,8.0,4.0,4.0
99,2.0,0.0,8.0,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,9.0,4.0,5.0
100,1.0,1.0,6.0,-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148,8.0,4.0,4.0
101,1.0,0.0,7.0,-1.05308,2.57309,0.58331,-1.47955,-0.40581,-0.21712,1.2247,13.0,3.0,10.0
102,3.0,1.0,1.0,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,5.0,4.0,1.0
103,3.0,0.0,3.0,-0.58016,1.2861,1.43533,-1.34289,-0.00665,-0.71126,1.2247,16.0,4.0,12.0
104,3.0,1.0,5.0,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,3.0,3.0,0.0
105,1.0,1.0,4.0,-0.92104,0.16767,-0.17779,1.11406,0.58489,-0.71126,0.07987,8.0,4.0,4.0
106,2.0,0.0,5.0,-2.21844,0.47617,-1.82919,-0.76096,2.04506,-1.37983,-1.54858,3.0,3.0,0.0
107,1.0,1.0,4.0,1.02119,-0.30033,-1.82919,0.28783,-0.40581,-1.37983,-0.84637,3.0,3.0,0.0
108,2.0,1.0,1.0,0.13606,0.00332,-1.27553,-0.76096,0.58489,0.52975,-0.21575,6.0,4.0,2.0
109,1.0,1.0,6.0,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,7.0,4.0,3.0
110,3.0,1.0,4.0,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987,6.0,4.0,2.0
111,3.0,0.0,7.0,-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,3.0,3.0,0.0
112,1.0,0.0,7.0,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,0.19268,0.40148,6.0,2.0,4.0
113,1.0,1.0,6.0,-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,5.0,4.0,1.0
114,3.0,1.0,5.0,0.04257,0.63779,0.29338,0.13136,0.7583,0.19268,-0.21575,6.0,4.0,2.0
115,2.0,0.0,4.0,-2.3436,1.93886,1.43533,-0.76096,-1.38502,1.86203,1.2247,14.0,4.0,10.0
116,1.0,1.0,5.0,0.22393,-0.57545,-0.84732,0.28783,1.13407,-1.37983,-2.07848,11.0,4.0,7.0
117,2.0,0.0,5.0,0.62967,-0.57545,0.14143,-1.772,-0.40581,0.52975,-0.21575,5.0,4.0,1.0
118,1.0,1.0,6.0,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,15.0,4.0,11.0
119,2.0,1.0,4.0,1.8399,-1.92173,-2.39883,1.11406,0.25953,-0.21712,-1.54858,8.0,4.0,4.0
120,2.0,1.0,6.0,-0.34799,0.63779,-0.97631,0.28783,1.46191,-0.21712,-0.84637,4.0,4.0,0.0
121,1.0,1.0,7.0,-1.05308,0.63779,-0.97631,-1.07533,0.7583,0.19268,1.92173,8.0,4.0,4.0
122,2.0,1.0,5.0,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987,4.0,4.0,0.0
123,4.0,0.0,7.0,0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,5.0,4.0,1.0
124,1.0,1.0,6.0,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,8.0,4.0,3.0
125,3.0,0.0,1.0,-0.34799,1.93886,0.29338,0.43852,0.58489,-0.21712,-0.21575,3.0,3.0,0.0
126,4.0,0.0,6.0,-0.46725,1.2861,0.44585,0.13136,1.13407,0.52975,0.40148,4.0,4.0,0.0
127,3.0,0.0,6.0,-1.1943,0.63779,-1.11902,-0.45321,-0.00665,-0.21712,-0.84637,7.0,3.0,4.0
128,3.0,1.0,2.0,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,2.0,2.0,0.0
129,2.0,0.0,8.0,0.04257,0.63779,0.14143,0.13136,0.25953,-0.21712,-1.18084,4.0,3.0,1.0
130,3.0,1.0,7.0,-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148,3.0,3.0,0.0
131,3.0,1.0,1.0,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,3.0,3.0,0.0
132,3.0,1.0,1.0,-1.55078,-0.15487,-1.27553,2.46262,0.58489,-1.37983,-2.07848,5.0,4.0,1.0
133,2.0,1.0,3.0,-0.24649,-0.57545,-0.58331,-0.15487,0.25953,-1.37983,-1.54858,4.0,4.0,0.0
134,2.0,0.0,7.0,-0.05188,0.16767,0.29338,-0.15487,0.12331,0.52975,0.40148,6.0,4.0,2.0
135,1.0,1.0,7.0,3.27393,-1.50796,-0.31776,0.59042,-0.65253,-1.37983,0.40148,8.0,4.0,3.0
136,2.0,1.0,1.0,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593,3.0,3.0,0.0
137,3.0,1.0,6.0,-0.14882,-0.30033,-1.68062,1.81866,1.63088,1.29221,0.07987,4.0,3.0,1.0
138,3.0,1.0,6.0,-1.1943,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084,4.0,4.0,0.0
139,4.0,0.0,6.0,-0.46725,-0.80615,0.14143,0.28783,0.93949,-1.37983,-1.18084,7.0,4.0,3.0
140,3.0,0.0,1.0,-0.05188,0.32197,-0.58331,0.94156,-0.27607,-0.21712,-0.21575,5.0,4.0,1.0
141,1.0,1.0,6.0,1.98437,0.32197,1.43533,0.94156,-0.27607,-0.71126,-0.21575,4.0,3.0,1.0
142,2.0,1.0,1.0,-0.79151,0.63779,-1.11902,1.2861,0.58489,-1.37983,-2.07848,4.0,4.0,0.0
143,2.0,0.0,2.0,-0.46725,-0.30033,-1.27553,0.28783,-0.14277,0.52975,0.40148,5.0,4.0,1.0
144,2.0,0.0,5.0,-1.69163,1.2861,-0.58331,1.2861,2.04506,-0.71126,-0.52593,3.0,3.0,0.0
145,3.0,0.0,5.0,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,-0.21712,0.7654,8.0,4.0,3.0
146,3.0,1.0,6.0,-0.46725,0.16767,-1.11902,2.23427,0.7583,1.29221,0.40148,6.0,4.0,2.0
147,4.0,0.0,5.0,0.22393,-1.23177,-0.17779,-0.45321,-0.27607,0.19268,-1.18084,5.0,3.0,2.0
148,2.0,0.0,7.0,-0.58016,0.47617,-0.71727,0.13136,0.93949,-0.21712,-0.52593,3.0,3.0,0.0
149,2.0,1.0,5.0,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,-1.37983,-1.54858,3.0,3.0,0.0
150,3.0,1.0,6.0,-0.79151,1.93886,-0.71727,2.03972,1.63088,-0.21712,-1.18084,5.0,4.0,1.0
151,2.0,1.0,4.0,-0.24649,1.2861,0.14143,0.59042,1.13407,0.19268,0.07987,4.0,4.0,0.0
152,2.0,1.0,6.0,0.52135,-1.6334,-1.82919,0.43852,-0.89891,-0.71126,-0.84637,6.0,4.0,2.0
153,1.0,1.0,6.0,-0.46725,-1.50796,-0.71727,-0.60633,-0.65253,-2.55524,-1.54858,11.0,4.0,7.0
154,1.0,0.0,6.0,-0.67825,0.96248,-1.68062,0.76096,0.7583,-0.21712,-0.52593,6.0,4.0,2.0
155,0.0,1.0,4.0,2.82196,-1.37639,0.7233,-0.45321,0.58489,-0.21712,0.7654,4.0,3.0,1.0
156,2.0,1.0,6.0,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637,3.0,3.0,0.0
157,2.0,1.0,4.0,1.23461,0.00332,-0.31776,1.11406,0.12331,0.19268,-0.52593,9.0,4.0,5.0
158,1.0,0.0,1.0,-1.05308,1.11406,-1.82919,-0.45321,0.7583,-0.21712,0.7654,4.0,4.0,0.0
159,2.0,1.0,6.0,-0.24649,0.16767,-0.31776,-0.30172,0.41594,0.88113,1.2247,3.0,3.0,0.0
160,3.0,1.0,4.0,-0.46725,-0.57545,-0.58331,0.13136,0.25953,-0.21712,-1.18084,3.0,3.0,0.0
161,3.0,0.0,7.0,1.02119,0.80523,0.44585,-0.15487,0.25953,-0.21712,0.40148,12.0,4.0,8.0
162,2.0,0.0,6.0,-0.67825,0.32197,-0.84732,1.81866,-0.40581,-0.71126,-1.18084,4.0,4.0,0.0
163,1.0,1.0,6.0,0.22393,0.00332,-0.17779,1.61108,0.93949,-1.37983,-0.21575,7.0,4.0,3.0
164,1.0,1.0,4.0,1.8399,0.00332,-0.31776,0.94156,0.12331,-0.21712,-0.84637,4.0,4.0,0.0
165,1.0,1.0,8.0,0.13606,0.32197,-1.55521,1.45039,1.13407,-1.37983,-0.52593,6.0,4.0,2.0
166,3.0,0.0,7.0,-0.24649,-0.30033,-0.31776,-0.45321,1.63088,-1.37983,-0.84637,5.0,3.0,2.0
167,0.0,0.0,4.0,1.49158,-1.23177,0.7233,-2.35413,-1.92173,0.88113,0.07987,10.0,4.0,5.0
168,1.0,1.0,5.0,0.04257,0.00332,-0.97631,-0.45321,0.93949,0.52975,-0.52593,3.0,3.0,0.0
169,1.0,1.0,6.0,0.22393,1.2861,-1.27553,-0.30172,-1.13788,0.52975,0.40148,5.0,4.0,1.0
170,0.0,1.0,3.0,-0.34799,0.00332,-1.42424,0.59042,-0.14277,-0.71126,0.40148,5.0,4.0,1.0
171,3.0,0.0,1.0,1.37297,-0.30033,-0.31776,0.13136,-0.14277,0.88113,0.40148,10.0,4.0,6.0
172,2.0,0.0,7.0,-0.34799,0.96248,2.15324,0.76096,-0.78155,1.29221,1.92173,7.0,4.0,3.0
173,3.0,1.0,5.0,0.52135,-0.57545,-0.45174,-0.45321,0.7583,0.19268,-1.18084,7.0,4.0,3.0
174,2.0,1.0,6.0,1.02119,0.63779,1.24033,0.13136,0.25953,0.52975,0.40148,3.0,3.0,0.0
175,2.0,1.0,5.0,1.02119,-0.57545,-2.21069,0.76096,-1.5184,0.88113,0.07987,5.0,4.0,1.0
176,4.0,1.0,6.0,0.62967,0.00332,0.44585,1.2861,0.12331,0.19268,0.07987,5.0,4.0,1.0
177,2.0,1.0,6.0,-0.14882,-0.57545,-0.84732,-1.21213,-0.52745,-1.37983,-1.18084,3.0,3.0,0.0
178,2.0,1.0,6.0,1.49158,0.00332,-1.27553,-0.91699,1.13407,-0.71126,-0.52593,3.0,3.0,0.0
179,3.0,1.0,6.0,0.82562,-0.94779,-0.45174,0.76096,-0.14277,0.19268,-0.21575,7.0,4.0,3.0
180,2.0,1.0,5.0,0.41667,-0.15487,-0.97631,1.11406,-0.65253,-1.37983,-1.18084,10.0,4.0,6.0
181,3.0,1.0,5.0,0.31287,0.63779,-1.55521,0.28783,0.93949,0.19268,0.07987,4.0,4.0,0.0
182,1.0,0.0,8.0,-1.32828,-0.43999,-0.31776,0.59042,0.93949,-0.71126,-1.18084,3.0,3.0,0.0
183,2.0,1.0,4.0,0.31287,0.80523,-0.31776,1.2861,0.7583,-1.37983,-1.18084,2.0,2.0,0.0
184,0.0,1.0,6.0,1.98437,-0.43999,0.29338,-0.76096,0.93949,-0.71126,0.40148,10.0,4.0,5.0
185,4.0,0.0,3.0,0.04257,-0.80615,-0.97631,0.59042,0.25953,-1.37983,-1.18084,4.0,4.0,0.0
186,2.0,1.0,6.0,0.31287,0.63779,-0.01928,0.76096,-0.14277,-0.21712,-0.52593,7.0,3.0,4.0
187,2.0,1.0,7.0,-0.67825,1.45421,0.14143,0.28783,1.81175,-1.37983,-1.54858,5.0,4.0,1.0
188,4.0,1.0,1.0,-0.79151,-0.80615,-1.97495,1.11406,0.58489,-1.37983,-1.54858,5.0,4.0,1.0
189,3.0,1.0,1.0,0.41667,-1.37639,-2.09015,0.59042,-0.27607,-1.37983,-2.07848,5.0,4.0,1.0
190,0.0,1.0,7.0,-0.34799,0.00332,-0.45174,0.13136,0.7583,-0.71126,-0.84637,5.0,4.0,1.0
191,4.0,1.0,5.0,-1.43907,0.00332,-0.84732,0.59042,-0.27607,-0.71126,-1.54858,4.0,3.0,1.0
192,0.0,0.0,6.0,-0.34799,1.2861,-1.11902,0.59042,-0.52745,0.52975,0.07987,5.0,4.0,1.0
193,1.0,1.0,5.0,-0.79151,-0.30033,-0.17779,0.28783,-0.52745,0.88113,0.07987,12.0,4.0,8.0
194,3.0,1.0,6.0,0.31287,-1.09207,-0.45174,0.13136,0.12331,-1.37983,0.07987,5.0,3.0,2.0
195,1.0,1.0,6.0,-0.92104,1.2861,-0.01928,-0.01729,0.41594,-0.71126,-1.18084,4.0,3.0,1.0
196,4.0,1.0,6.0,0.62967,0.32197,0.7233,-0.30172,0.93949,0.52975,0.07987,7.0,4.0,3.0
197,0.0,0.0,6.0,-0.58016,0.32197,-0.58331,1.2861,-0.89891,0.19268,-1.18084,3.0,3.0,0.0
198,4.0,1.0,6.0,-0.34799,0.47617,-0.71727,-0.91699,-0.52745,-0.71126,-0.84637,3.0,3.0,0.0
199,1.0,1.0,5.0,-0.05188,0.47617,0.58331,0.76096,-0.00665,1.86203,1.2247,16.0,4.0,11.0
200,3.0,1.0,5.0,-0.46725,2.32338,0.7233,1.81866,1.30612,0.52975,0.07987,14.0,4.0,10.0
201,0.0,1.0,6.0,-0.58016,0.16767,-0.84732,1.11406,1.46191,0.52975,1.2247,3.0,3.0,0.0
202,2.0,0.0,7.0,-0.14882,-0.94779,-0.58331,-1.34289,1.30612,-0.71126,-0.84637,15.0,4.0,11.0
203,2.0,1.0,6.0,-0.67825,1.2861,-0.45174,0.94156,1.13407,0.19268,-0.84637,6.0,4.0,2.0
204,5.0,0.0,0.0,-1.55078,-1.09207,-2.39883,-0.91699,-0.65253,-1.37983,-2.07848,4.0,4.0,0.0
205,1.0,1.0,6.0,-0.14882,0.96248,1.24033,-0.01729,0.25953,-0.21712,0.40148,14.0,4.0,9.0
206,2.0,1.0,1.0,-0.14882,1.11406,0.29338,-0.91699,-1.0145,1.86203,0.40148,4.0,3.0,1.0
207,0.0,1.0,6.0,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,3.0,3.0,0.0
208,2.0,1.0,5.0,-0.67825,0.47617,-0.58331,0.59042,-0.14277,-0.21712,0.40148,15.0,4.0,10.0
209,2.0,1.0,6.0,0.13606,0.00332,-0.17779,-0.30172,-0.00665,0.52975,1.2247,13.0,4.0,9.0
210,1.0,0.0,7.0,-1.43907,0.47617,1.06238,-0.45321,1.13407,-1.37983,-0.84637,2.0,2.0,0.0
211,1.0,1.0,4.0,0.73545,0.16767,-1.42424,-0.01729,-1.25773,1.86203,0.7654,3.0,3.0,0.0
212,3.0,1.0,1.0,-0.67825,-0.57545,-1.11902,1.11406,0.93949,-1.37983,-2.07848,3.0,3.0,0.0
213,1.0,1.0,5.0,0.13606,0.63779,-0.84732,1.81866,0.58489,-0.21712,-1.18084,10.0,4.0,6.0
